country_name,countryiso3code,date,gdp_growth,inflation,external_debt,reserves,gdp_per_capita,gdp_growthz,inflationz,external_debtz,reservesz,gdp_per_capitaz,risk_score,risk_category
Senegal,SEN,2024,6.46220577412338,0.804503298792438,150.690164087921,,1738.73223822106,0.6057253719214756,-0.8341915563525871,2.975124447249761,,0.12502685871969238,1.4101806602560059,High Risk
Sierra Leone,SLE,2024,4.29322334404611,28.6337500014115,31.1262398944279,433270129.080483,806.654650274255,-1.0693449383907363,1.8420570104020835,-0.7882934807282603,-0.43720249222597796,-0.6839246693454308,2.8070331374099906,High Risk
Togo,TGO,2024,6.52651376797853,2.86262074089801,43.1643453395059,,1266.08777721447,0.655389403187356,-0.6362690644681965,-0.4093796724328822,,-0.28518197357831004,-1.4158561665101246,Low Risk
Benin,BEN,2023,6.3527773854442,2.73870078406075,64.4103774213458,,1394.17784721831,1.223766966580045,-0.664079712074733,0.2588858930735661,,-0.17254539152179435,-1.4564153940594178,Low Risk
Burkina Faso,BFA,2023,3.00027415814125,0.742910428668918,53.7746197762312,,873.198061670247,-1.3673076154535095,-0.8060130556883306,-0.0638116485470803,,-0.6548966457325576,1.152379556950656,High Risk
Cote d'Ivoire,CIV,2023,6.60000045209176,4.36972254867474,47.4826411328516,,2591.9659048119,1.4148401321078272,-0.5480873825533471,-0.25471540057840336,,0.9364315551579175,-3.1540744703974952,Low Risk
Cabo Verde,CPV,2023,4.7947613911073,3.72437517668748,98.1389351510193,837880565.130438,4794.90119772843,0.019611334916195846,-0.5939821380074674,1.2822377806351606,-0.41503045245366493,2.9760281594016225,-2.3073838516901253,Low Risk
Ghana,GHA,2023,3.14009100080186,38.1069656296501,55.2963757239878,3623904994.58702,2383.90410476221,-1.2592463124224793,1.8511825116272107,-0.01764033478898449,-0.18671187962993765,0.7437966910206438,2.3489917982400614,High Risk
Guinea,GIN,2023,5.54172668627702,7.80497591927973,25.216937612259,1887171051.40105,1555.49375806861,0.5969240647632882,-0.3037846702305784,-0.9302749637327763,-0.3290396392469229,-0.023190399099318817,-1.8077932996273243,Low Risk
"Gambia, The",GMB,2023,5.91679576551141,16.9742129632327,55.8014567807451,577028229.488264,883.024111978927,0.8868065471413249,0.3482980841118216,-0.0023157645258020756,-0.43640766378098045,-0.6457991570740602,0.10497492951875487,Medium Risk
Guinea-Bissau,GNB,2023,4.63052364601562,7.10220928557059,68.0698341582062,,964.431832665395,-0.1073243360928101,-0.35376287452089206,0.36991678829092706,,-0.5704274876449884,0.6939057375078335,Medium Risk
Liberia,LBR,2023,4.68375688761311,10.0944535665552,51.1452722006315,441429534.738618,799.194470229642,-0.0661815571391051,-0.1409653557026243,-0.14358819357788669,-0.4475201652130078,-0.7234131719734468,0.5050411798320409,Medium Risk
Mali,MLI,2023,4.76394100040932,2.05880228274223,27.3071265527304,,1042.44223444837,-0.004209054068224093,-0.7124316180498803,-0.8668569304229814,,-0.4982012397457172,-1.0768782546589204,Medium Risk
Niger,NER,2023,2.63516980401258,3.70097316425834,34.0171755670095,,647.930108509567,-1.6494885852041727,-0.5956464039271724,-0.6632685831408751,,-0.8634618967359885,1.254035494872114,High Risk
Nigeria,NGA,2023,3.31590368111438,24.659550203114,29.036832236491,33452495121.7329,2138.76383718757,-1.1233646334886631,0.8948512871110877,-0.8143762524589442,2.257782524355691,0.5168325768606309,0.6870070912801757,Medium Risk
Senegal,SEN,2023,4.25743083300657,5.93947798773215,153.247351028687,,1698.03387300843,-0.395679406612714,-0.43645209104132515,2.954271961904806,,0.10878094628453297,2.804718331191662,High Risk
Sierra Leone,SLE,2023,5.7100218981806,47.6428733253179,37.7976134256055,495698793.817761,758.329137301888,0.7269956609037423,2.529341547710458,-0.548567022243715,-0.44307272403117726,-0.7612485067373598,2.01502737130036,High Risk
Togo,TGO,2023,6.19762969378132,5.48928568141131,37.4241788914175,,1182.32951436696,1.1038567940692576,-0.46846812876422955,-0.5598973298870141,,-0.36868603246011883,-1.7635362202603826,Low Risk
Benin,BEN,2022,6.25294705373625,1.35077863583527,63.163660783078,,1266.42711031904,0.0826221818806636,-1.268350589315953,0.2664968159854866,,-0.2509390552589123,-0.8335368999522177,Low Risk
Burkina Faso,BFA,2022,1.62673258211919,14.2902354303358,54.9423521840175,,827.330843486661,-1.2107706661697022,0.30609935727979193,-0.005982266346774683,,-0.6792696844407022,2.1901574415434215,High Risk
Cote d'Ivoire,CIV,2022,6.39988362730921,5.23352856100843,46.0823328796999,,2333.37128301259,0.12370257591390074,-0.7959045269022885,-0.299630157117164,,0.7898460830172238,-2.009083342950577,Low Risk
Cabo Verde,CPV,2022,15.843675684642,7.93092925430087,108.275748298134,729566303.824111,4323.31362032709,2.7639893979728827,-0.46768963774970707,1.7616481121671936,-0.44287447536060487,2.7309995788696027,-4.201030502424999,Low Risk
Ghana,GHA,2022,3.80484978178042,31.2558951049016,60.022746907535,5205457212.278,2229.89122654479,-0.6018146340745003,2.370450465120312,0.16239741134929225,-0.10883800587680378,0.688903121205298,2.4457593893388068,High Risk
Guinea,GIN,2022,3.97240784200721,10.4930409984424,25.0644854877483,2109566460.25546,1416.59612011764,-0.554968903497126,-0.1559364658197664,-0.9962253160208127,-0.33988483830963073,-0.10445184662319157,-0.49274103172026146,Medium Risk
"Gambia, The",GMB,2022,5.49299823010114,11.5131198380505,54.2711836263851,568244498.422457,836.244875868476,-0.12984362129477156,-0.031815098126261286,-0.028226826378840886,-0.4549139480442087,-0.6705742037749391,0.7403759005646086,Medium Risk
Guinea-Bissau,GNB,2022,5.45776090019501,9.39075933985203,67.6697756324479,,881.602654162231,-0.13969524204530057,-0.2900601254187293,0.4158431182493859,,-0.6263284946164308,0.891806729492388,High Risk
Liberia,LBR,2022,4.80810517290655,7.59298486560313,51.2373491161268,599660417.529907,744.617175237387,-0.32132540133105153,-0.5088101061888172,-0.12877729633657906,-0.45256937287048843,-0.7599554024467494,0.44369340125240475,Medium Risk
Mali,MLI,2022,3.70319027585386,9.62147608489064,28.8716429810643,,976.914116406452,-0.6302365065813724,-0.2619869247678974,-0.8700445787849324,,-0.5333538517532337,0.031558854781776335,Medium Risk
Niger,NER,2022,12.2215497467041,4.22621791916392,38.6144336945622,,613.614736429298,1.7513187119056517,-0.9184722831415977,-0.5471389682021409,,-0.8877459606398531,-2.329184002609537,Low Risk
Nigeria,NGA,2022,4.31882949157136,18.8471877843274,22.1867351582616,36809762970.197,2899.16047469267,-0.4581166527627442,0.8605811646946739,-1.09160268320169,2.249796494334583,1.34176341587193,-1.114668281616202,Low Risk
Senegal,SEN,2022,3.85043193752725,9.69681899081073,132.297928341272,,1574.0281059306,-0.5890708162935966,-0.25281933480750035,2.5578159600111006,,0.04912026644226906,2.844947175054928,High Risk
Sierra Leone,SLE,2022,5.3135546141915,27.2082883814653,34.0264597502258,624496474.631726,860.371067874555,-0.18001230475503038,1.877944922517984,-0.6991983289540251,-0.450715853872847,-0.6470395308972274,2.0057984292162168,High Risk
Togo,TGO,2022,6.29443692019429,7.96757361617945,40.1159249857034,,1071.61539220759,0.09422188113209846,-0.4632308173742422,-0.4973749964194992,,-0.44097443495508437,-0.6138532599707556,Medium Risk
Benin,BEN,2021,7.1554516457574,1.73353962694036,59.6659345183529,,1318.65158075198,1.029191810310805,-0.9798106833927389,0.1668888195874039,,-0.20031761191080968,-1.6417960622053305,Low Risk
Burkina Faso,BFA,2021,6.94252492572348,3.65326761825509,55.0365504706363,,895.535288442991,0.920766513332567,-0.5670679455715275,0.007327063285937388,,-0.6368317980583904,-0.8436755975597667,Low Risk
Cote d'Ivoire,CIV,2021,7.06253713446816,4.15919657911798,42.1962341583395,,2455.98127641148,0.9818784271970333,-0.45829289754684366,-0.43524227231865786,,0.9730254039608938,-2.848439001023429,Low Risk
Cabo Verde,CPV,2021,7.03353010694514,1.86215297494647,121.406606891511,769650450.739642,3971.44409203423,0.9671076385748333,-0.9521587318576469,2.29491492793192,-0.4844566263890978,2.536475050365427,-2.1608264928659873,Low Risk
Ghana,GHA,2021,5.07646643533542,9.9710886750444,60.4375749224229,9916916899.67781,2445.18662529344,-0.029456859134996436,0.7912675956307831,0.19348507879543225,0.11777175154999756,0.9618889423469383,0.05232059121427346,Medium Risk
Guinea,GIN,2021,5.5823328114905,12.5972882566934,28.3404260658602,2183067127.24737,1244.96550477914,0.2281374533927223,1.3559021742266735,-0.912812733404632,-0.39140154406511846,-0.2763369429277394,0.4912889303570586,Medium Risk
"Gambia, The",GMB,2021,5.25596878816744,7.37034758876618,56.6631213557732,652670952.247777,781.890925169531,0.06194827738804672,0.23210660971452404,0.0633903547532525,-0.4921582030319278,-0.7540746876523172,0.9876233747320471,High Risk
Guinea-Bissau,GNB,2021,5.0173096003907,2.24248879577658,66.3555323065257,,926.54619187706,-0.05958035606460734,-0.8703862887349164,0.39746030837061375,,-0.6048389404911418,0.1914933161914465,Medium Risk
Liberia,LBR,2021,4.98671283481617,7.81559385858648,56.0896971198786,700828780.06308,667.96610514319,-0.07516066178416884,0.32783484061063956,0.043626045453768365,-0.48898763719215754,-0.8716069146068199,1.3182284624553966,High Risk
Mali,MLI,2021,3.10094124463507,3.92560283104277,28.7701638225669,,1027.27345365357,-1.035422223442274,-0.5085157017955075,-0.8980008900789536,,-0.5009221698621856,0.1298278014299986,Medium Risk
Niger,NER,2021,1.11520063869706,3.8378680284051,32.7020935952753,,609.585703670137,-2.046589421651482,-0.5273787401044274,-0.7624784072344312,,-0.9318359199635049,1.6885681942761286,High Risk
Nigeria,NGA,2021,1.109252540249,16.9528457221608,22.2682603874306,41727503547.2316,2787.48779220991,-2.0496182774972116,2.2923497965814708,-1.1221030861204768,2.2120846378080743,1.3150290081158869,1.9048359798423184,High Risk
